query_id,answer
70DfDUpwjxB4lzFd,d4ebb123b83921c3 255fbeaf526a1cc1 4332513c8fe7e1c9 94c5ec723ea5418f f077edb575e5d7a5 a1df0525799ab4b5 d01e14d2ffd4ddba bee602308dd4d4b3 638349a35daca252 0a32e88bbfb35c29 198c47117b3869da 9515d1e1ecdac72c bbfd9a8c71d3bd2b 1308d41ffd1cc3a6 fa01652ca5f57d0f 56157887d3ddab2a fa4ba2c2cf71b0b1 3b5ada3ffcacbbf3 2d73dacac243ce62 603623b4bd9e8f6c cf0b70d14b674f8b 95571e85156ba0fe deb58d7ad8c27d06 6fc4db453f873556 99a2e8409516b616 d722bcda1a555091 3b3b47ab93689e9f 616137eeb40fbedc e5a240b2eaca4e11 e50d47c77b2c8a58 c04be97528001251 f78d7058e1d906eb 33f8d361a92bdcde 347f89be8087d8c7 f4e8903d7689e222 73ba3172bc67d2dd d15745c74b29ff6a 82ddaf2c54ef884a d7ad9f91504e4d02 6042fecdd7753112 6dfa83ed47d5bd10 14d535285758af89 4c5de54dcb9ddd51 4494aa11cbdc2d65 b92ee8f432cec2d1 4f96718256e225e4 fe18d6ee0f9c019c 6047e1566a959d3a 355392014208b7bf acc6e16fea8628b0
JTrdTaZJvSiLPkXj,56415c6efe9263d3 d297d1ddff22476b 431efbc80d59155f d73d2694b62a903f 0ecca189a4823554 427a0a8bda5b9679 0e09b1e2a78da3a3 bafe6304f743b5fb efde386fb8c4f385 7e18adf210484046 6202d00a301510ae 664665688c35c1d0 e7c70d65edde0559 01fbbfc288257fca fb1efc098fa6657b c5110c8ce7bc03db bfe712cb2e8abded 422d3ffdd5bbf626 f46f68aaa4d7de38 8ab5ecc1f8361f90 3e94e0d780de88d5 26645f170bf01503 58616767e88c583f 1c6d2079e07f4497 413f6384e3c07b64 35a0a88ef8547de9 16ea26ff0aa0450a 57eff27cb2cb7d4c 0529307cdfbe4a15 88931c4cd463d124 19165fefac3dce47 dfa239d031b11832 47b2ed1012de011a cbeccbecb1fb8d86 9227619964c97cd4 536b488415b4ce03 75be1179c1cf9418 1a1f3efb845a2473 e9cebe597677e8c6 b2b365ee8ab5158a 1344796085e92421 cacca72b31f50e71 14fbc6d1a2f9f588 2f09017b0819844e 367af128a9ea2a48 396da9dc8f95a5b4 e7a1a49f5d6590f2 d801e3070fd322ff 73ab3b0d708ea15e 4a435cc0a254c1fd
LZCZNoVG4AFUkVRJ,0c82dcb07c43fbc5 f03a082e6a709bf3 bc5cfc9ad5b36256 d69aa82a671914c3 bcb840f5c56fa5bf 2745b4bcbdb485c7 ea5ae87445c6055a 5c3ee000a94c97a4 d8b9d06b50158c04 35a357d7a0777087 d62074dd39caefee 53fc0e81b65d6289 d6fbb75d194c8ddd 6fce025768d766a2 a461751752fcbf14 0a2a312988225650 14cb8a6c43793f27 7347ccc4bdcfde01 965d4e5fe7062419 168a9207e80b0be4 ee58129557cfa95b 597e24ccf265b201 c1abf382ab9a79dd 73ba144ca45e37da ab1a2e6b18e6d75a 005a523a0efbc62b 326a176b609db5be 0b1c884e6c242ea7 10eb6d6da3230bbb ffa57569baf9bf6e a9840be7d8930cd1 dab52187b4500d9b d8e11672a3a3b1db 6c311e61cde9bac2 33757d777da644a0 4156adcc5c8051bb 0916d1858b6583d5 08a5a810e06168af edecb3695ab88901 3f89b8062dc85f1c c5d21c0e8c1cdb2d c6e4d72fbdddb0c2 65f998d38467560a 3d5b978d09e51b00 6151abe63cdd1d04 e59f50c4c70d9a74 72ef0fb278f63f15 d8fce513e4f000a7 3b370cc603f67947 be827d807fb7e17c
660ac9QVtXkRxZC3,9bfc71a3ef6cc888 7d77c8f23d4954f8 3cce43c811459438 4816fc8b40866f56 0b1a2da6ee33708b 5b8181f009aea80e a7203c0324ac58a0 67b2cd847669eb36 1a4d8bce3afd1b56 2e0b9ff1fd85b3f8 346b159c27ccf883 a846a2a5241e1180 da18e5119a944f0b d8f21e0f7becfcd5 33094270ba8552a6 62be8c7f2a81aa9b b209467a1aec4470 e42795fcb72962a5 f4a70472051775bc 0ccc2d9667763ea3 8925c1ae30327290 1e5924dc546b82c1 c94d2f458e46a994 817eae70e673a88c cb79c218e9550c22 c844df794ef4ef55 1638f8d5f70d6f04 a43b6fd91d211759 8fc7ce2809cf1b32 e6ba6e7008ccac7a 2babc4b2f86c9376 0d28600703c3e946 0b38c3b3819b74f0 54e88f847ecbe989 b8f9bfae96987bda ad8a61749054cd18 f4168b2429fe5fc8 83d9eb845adc4e5e 2cdb21ab3830efa9 63184bac4cf97ff3 4c15e7abba063ac5 af91ec4a29b66636 fde6e017db60d8cd 8c58afcd5a699e29 681fe2d7682200f6 bd2cb4500fad728e be70c36e4ea38458 afc08bbe0695d5cb 6f0bc83ed22cefc1 976b75fa962b2756
YgHcM9MVbxKnxD1e,8bb780189a2eb76d 9c41fe789f98d702 615c73ea4c3bfd15 8138a7b391e29034 94cce9ac398a8f4a 0c8a36e283d43f46 3522ccc98c60efd8 cba533b4d734504c 33539f478a2ca02a 9dfc2ead6929b559 442b0ab445da8fa8 4ac1b5362445d885 b8603925d28a8c99 0f2830cc25924065 00e247b927321fd3 fb0bf6077c59c5a2 0a8d317b1a325bff 4ef5ba70fa9baaef 0181cdf16470a86b 38f7cea86e2064f1 ba78ad593ec3412d 0a6582395c74f5b3 7476c2f3ad236a47 77897477ae28aade 9502b74b2d61c50e 5008e2463b0c0526 60e3b99111bd032b d201edf373168f24 3bad0535f35b0096 3b789e0a071f397f 407e6f8c8891a01f 4efe575b5de43b45 9c1a7044c25537f7 f23e3caec0202f5f 940caca6051922cc c15a07821acfd1de 9c01722be4efba41 a1b93aaf665bbede e4dc4fd74ce1c4c6 1bb699002a717294 edd7d381cffa4015 56e3295572157d74 13f58fe9542bdb1a 1a62634394544781 e09647d3c173314b b429bb253a967e2e 69313d4e1dce4f52 77a1a9d8e808d482 3869e9d8cef84740 53f9c8caeeb8111e
Fn8uGfYsaUS86ak6,b9982354b0f9b488 1ff9c80277e5e5bf 1ddbc4e38fa8e39e 9d80c5569bb55f4d 6f7096b477f898df e4d73ff84d102409 44853116720cebf8 e10747964257c44b 98d326ba81fe3f24 d384b46b93bf53b4 9b98201161efb75f f6248730c66364a5 67046e3c5492df3e 5b85f8362672aa1b 8ff32856b99b223a a3f003d075e3dd83 09c13bc409c920f0 6acdbf2dba17b143 efd1cbb4bff99da8 db87b45f400e6809 5d6fc47a7f0e1abe efcc8613719f23bc 37456fab286b11d7 61857fa438e615aa c6ddc1fc25886253 9c83208c1a82a393 e3f278c4400772bd deb8430c13b40452 12c906df661153f3 16eed22208cead7c 82fd662701433866 d5d180a3b33376ed cc19dcdc0a74058b 78a28586749107df 55b42f2a9d801f9f ea3442e3a31b98b5 3390fe856c4672b3 45bc6eaef04bb16b 5fd350394c4e65a1 38d86757951c36dc c3a170f9cff432a7 c2d907f332325626 138ebf716562699c 1a0fd0229092f93a c0ccebd300814c4b 6a254eaa5e3cbcaf dea04d3b6ce625ac b0850cd93340001b 1ebd6968953200ee 9a7ec349c99eda9a
u4hftjenWqHZoMep,d93cb8ee52d46768 24370b8d2003ebfc d0a1eeeb46bda2ef 4ed8df21d84d4a06 392a1302a737d219 b8682c938874a5f6 93095d3a5b2aff5f e1ea0056989466b1 3fe3cfbf10720ad6 d237fac5a6cb9f5b 65a0f3c88f8f6872 bef0ed0b50f716d0 7ad464454b711615 bd4ed23c1f550bd0 579746986e6a9b12 0cfabc56b1cd4816 7ab3158075b21fb5 4638da6d64063c3a c13b880292455ad1 71a7af70f8c42d25 f7ed83d74c968bd4 6f2185599cc623f9 c9021873c1f2511b 4ecfd12428c444fa ee1fefdbbe3b7112 bd66d2fbc4a94e48 7e463077b134914b 144d5e7f963f9a97 dfb331f8319d14c0 ee752d45a9373027 1a49267c710a056f e70727d9d773a2f4 83b88c758270dcfe e45c6c6c7afe87d6 57dc728ccb851c30 118e63c31106f1bf 6159d0a9012f6b13 1a3daa8815cbd80e c0d9397007d61719 7a60e1d73f70774c 15fe3524414f4784 b0b2c0d53573999d 4e95d2667dcb5fb3 71afe91759fa58b4 8449561836ba936c 9f338b23aa1b5f26 5dacf594473fe363 bfc4346cd7fe091f aedfffed94c3a134 b0896578a785ce44
2Ysms04CH0JxFR7M,2021792912211cc8 506ac05aea4d3cfa c367d367efd7e4bf 4ab5d95e3dbd0660 d806103a9dc8a3cb af875b8598f2f28f e3598048a2754fcd 70d2b0a55385d928 67cc1ef771b75c1b fd1001273e2f6a7b a1ce355c874ba851 1d3eb18e863c9dbf 7cd161f77b76b004 800d936465dc7f5f 25cf533bd28c6f34 9972a497c9dcd441 4eab8b78558b6cb7 9e6898aa5a012ad4 376b59a44a9b7fde ff14cbd8d906719a 4e2cb3c6fe0f1376 d6161215ffaba51b 2184515dfec00a74 cd8a55e63e6ab416 eb692789f174c1b1 fa0facc1035123dc 302ffab4d78f8d66 0f22c9c4901d844b c57e284d60a66f9b 0749b0eac68ddfa2 ba854086d29b49b8 48fb9b26f3ab9085 d88cf31055f8f2f9 e27b8a70862f28a9 d1254ee38f8a30e6 f4bc1d7e5f5c5d38 f7fcf460979c1ec5 7cd8ce86b84060e7 866937840b197999 e557c73ce714b5ac e3f2e9efeb9d1b5a d765d8511e57bd2d d7383729fe99b54f 1d0112e0a749a7fd d39a335d58289043 2ec74c681dda0a47 9b746cef1e3ebe28 1a4ad9abea6976bf 27514aceb5aeb5b4 831141431ca6022b
C87NmbDEECz55BdJ,9f69c8903ff81799 17d852af377fc179 2fda907fd6c2e822 e57f1dc47f4faf6b 58c8bb4cda560a90 102b9907088f7929 82f29a8a92af3990 772bdac5eb711ff6 325cb0e9cc186e77 e0f567b0b56f901d 776e60e861a7981b d93f9fd25c34020e 129061ce491b9036 933c563c0b97b294 94c4ccd762aae19f 312eb6d5e3c97fe5 86de71c66dd2773e 010db753a547e8e0 ae71662e1cd76c33 03d74f1e16c5cb36 503fa42b3135b07a a2fe5220900a341a da78f72b2c2de7d8 c110cd29cc7b359f 104da90f582eb10b 1210ead0ad9cacdf a317a15b20ded8b5 5afbf6db81762374 5bee8aed3480d143 deb926c50529931b d53ed1b5ee04124b 41206f1973ec29eb 3482673a7d6aceca 0489ab346368fb43 47d69ab911f7e876 c143762ac93699b4 7c1fd27bf3023a09 bb793f8bb34cb7a4 dec706791e76dbb5 d05475ef80a2f145 985dc437fea08791 74c85f19887fcdbb 8e27e0145ab2d9ee 24f65a1ed155d3f6 d5481806b6e8dfde 8d368cec78617ab7 639d85039afd302d 60da3b17af6c67c6 e10ac87f506d128c 42b32e2a4f2e1a0a
bTF8nFanljgh7MYg,88c1ca26292dbdff 7e956132fdb6055d 4d11c23bd09c33aa adb24f7adbef70ff 7d83d2d84dca235f 7262cdb1bf3308d5 95d6e5ef0d0d0024 8f02bd1d8a896039 5fe9106b02d139f8 e66560f5571eb916 d5dcd39e85ac22c3 3b5b126d73d809dc bc6fe8709b827527 44870ca0c230e10b ad6c26efefd1e6d1 c679539ea64e524f d49b0855508c7a45 819fe7647608dfd8 1ef0d3d4bf13d4e5 87d6c9026c6dd40e 5e93a81c94d07a33 a7805f280da53d7e 2408993e3627c6da 3388a13dfa0f1c48 e6138c34ed8219e6 99474be1eba3643c 12f8eb8fc5bcf830 33de3813f4dac961 e1a509061db4365e 09e9fea66d9b18ed ffb293d728ad43a6 49d3b90b4699c983 375fb68073264a28 a2e5965b7fb44ba0 a524014ec1f47554 43a2c6a24327285f 45751ba9f5ef2a7b e129ab54119195c3 4d7b0cb1624f6e67 3b1daa74cc3b525b cd7cfcb0053b9d73 00236590beffb516 6e0cf1cf1aa31164 6f9ecabf50905914 ff0fa20dc2ab50f5 f0163dabccdb33e8 6c2d08e530a6da00 b92bb5f2e54134c0 2e07853eb7febd93 54a253cf01bdf010
